CODIGO,TAG,EQUIPO,DESCRIPCION,FABRICANTE;;;;;;;;;;;;;;;;;;;
"80960,320BM001B,MOTOR DE LA RASTRA AUXILIAR,""ELECTRIC MOTOR (100 HP) (3 PH) (50 HZ) (447TSC TEFC,FR) (380 V) (134 AMP)(TYPE: TCE)(SF:1.15)(1485 RPM) FOR: TAG MOTOR: 320BM001B."",US MOTOR";;;;;;;;;;;;;;;;;;;
"742585,320BM001B,MOTOR DE LA RASTRA AUXILIAR,""ELECTRIC MOTOR (100 HP) (3 PH) (50 HZ) (447TSC TEFC,FR) (380 V) (134 AMP)(TYPE: TCE)(SF:1.15)(1485 RPM) FOR: TAG MOTOR: 320BM001B."",US MOTOR";;;;;;;;;;;;;;;;;;;
80945,310AG011 | 310AG012,AGITADOR TK ALMACENAMIENTO CONCENTRADO,MOTOR JAULA ARDILLA TYPE:TCE /3 PH/ 50 HZ/ SF:1.15,US MOTOR;;;;;;;;;;;;;;;;;;;
471946,310AG011 | 310AG012,AGITADOR TK ALMACENAMIENTO CONCENTRADO,MOTOR JAULA ARDILLA TYPE:TCE /3 PH/ 50 HZ/ SF:1.15,US MOTOR;;;;;;;;;;;;;;;;;;;
"763515,310BD001,310BD001 NAVE FILTRADO 310FA091 310FA092 310FA095 311FA3304 311FA3305,""VENTILADOR AXIAL MURAL PARA NAVE FILTRADO, MARCA S&P, MODELO HIT-1250 P POTENCIA MOTOR 1,5 KW/ 2 HP TENSIÓN 3-230/400- 50 HZ INTENSIDAD MAXIMA 6,3A/3,6A CLASE DE MOTOR: F VELOCIDAD 1450 RPM NUMERO DE POLOS 4 EFICIENCIA ESTÁNDAR , PROTECCIÓN IP55 , CAUDAL PUNTO REQUERIDO 44.300 M3/H PRESIÓN ESTÁTICA PUNTO REQUERIDO 1,00 Pa CAUDAL PUNTO DE TRABAJO 44.366 M3/H PRESIÓN ESTÁTICA PUNTO DE TRABAJO 1,00 Pa PRESIÓN TOTAL PUNTO DE TRABAJO 4,80 Pa TRANSMISIÓN INDIRECTA, CON HÉLICE CON ASPAS DE ALUMINIO DE PASO FIJO UNIDIRECCIONAL. EL SUMINISTRO INCLUYE CELOSÍA GRAVITACIONAL Y REJILLA DE PROTECCIÓN ."",S&P";;;;;;;;;;;;;;;;;;;
"167965,310BM001,PORTAL RECLAIMER,""FRENO DEL MOTOR DEL SISTEMA DE DESPLAZAMIENTO DEL PORTAL RECLAIMER CARACTERÍSTICAS: FRENO MOTOR DE 15 LB. DTWP PARA MOTOR MODELO H19226 SERIE A08A188029TF, POTENCIA DEL MOTOR 5 HP: FRAME DEL MOTOR 215TC"",US MOTORS";;;;;;;;;;;;;;;;;;;
81026,310BM001,MOTOR RASTRA PRINCIPAL,ELECTRIC MOTOR (200 HP) (3 PH) (50 HZ) (FRAME:449TMC TEFC)(380V DELTA)(270 AMP) (TYPE JCE)(SF:1.15)(1475 RPM)(ENLOSURE TE) (DESIG: B) (INSULLATION F)(TEMP.AMB 40 GRD C)(EFF NOM:95)(CODE G)(KVAR 36.9) FOR:TAG NO:320BM001A. (REPARADO),US MOTORS;;;;;;;;;;;;;;;;;;;
508119,310BM001,MOTOR RASTRA PRINCIPAL,ELECTRIC MOTOR (200 HP) (3 PH) (50 HZ) (FRAME:449TMC TEFC)(380V DELTA)(270 AMP) (TYPE JCE)(SF:1.15)(1475 RPM)(ENLOSURE TE) (DESIG: B) (INSULLATION F)(TEMP.AMB 40 GRD C)(EFF NOM:95)(CODE G)(KVAR 36.9) FOR:TAG NO:320BM001A. (REPARADO),US MOTORS;;;;;;;;;;;;;;;;;;;
80481,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,MOTOR VENTILADOR Rod. Eje 6209-2Z/C3 Rod. Vent. 6209-2Z/C3,ABB MOTORS;;;;;;;;;;;;;;;;;;;
